NM271@+X478507 -> NM501/NM502

NM271@+X478507 35.8076 -104.447
NM271@+X316554 35.8269 -104.458
NM271@+X816800 35.8856 -104.563
NM271@+X460370 35.8857 -104.58
NM271@+X260208 35.9179 -104.585
NM271@+X713081 35.9179 -104.597
NM271@CalAve 36.0039 -104.709
NM120/NM271 36.0112 -104.705
I-25(387)/US85/NM120 36.0118 -104.708
NM120@SanFrTr 36.1302 -104.924
NM120@+X771967 36.1718 -104.997
NM120/NM442 36.1754 -105.048
NM442@LosHueRd 36.1445 -105.064
NM442@+X834896 36.0922 -105.115
NM442@OjoFelRd 36.0676 -105.126
NM442@+X735491 36.0371 -105.171
NM442@+X420278 36.0361 -105.192
NM442@CRA026 36.0066 -105.208
NM442/NM518 35.9414 -105.25
NM518@CRAO11 35.9688 -105.305
NM94_N/NM518_N 35.9738 -105.328
NM434/NM518 35.9742 -105.33
NM518@+X671203 35.9791 -105.356
NM518@SanAntRd 35.9937 -105.371
NM121/NM518 36.0523 -105.385
NM518@+X897213 36.046 -105.396
NM518@+X496033 36.0603 -105.423
NM518@+X442926 36.0766 -105.421
NM518@LaCanRd 36.0799 -105.429
NM518@+X911901 36.07 -105.452
NM518@MonRd 36.0811 -105.465
NM518@FR76 36.1267 -105.51
NM518@+X971136 36.1336 -105.537
NM518@+X149040 36.1595 -105.556
NM518@FR708 36.1615 -105.587
NM518@+X476436 36.1578 -105.593
NM75/NM518 36.1759 -105.618
NM75@BIA206 36.191 -105.671
NM73/NM75 36.1694 -105.687
NM75/NM76 36.1839 -105.706
NM76@CR10 36.1761 -105.731
NM76@FR207 36.1366 -105.742
NM76@CR005 36.1321 -105.756
NM76@CR73 36.1036 -105.777
NM76@FR155 36.0677 -105.801
NM76@NM598 36.0442 -105.813
NM76@CR1301 36.0401 -105.837
NM76@CR80_E 36.0238 -105.849
NM76@CR80_W 36.0084 -105.876
NM76/NM503 36.0032 -105.902
NM76@JuanMedRd 36.0026 -105.93
NM76@CR87 36.0044 -105.966
NM76/NM106 35.9868 -106.039
NM76/NM583 35.9898 -106.047
NM68/NM76 35.9978 -106.064
NM68/US84/US285 35.9888 -106.066
US84/US285/NM369_W 35.9886 -106.067
NM30/US84/US285 35.988 -106.08
NM30@BIA601 35.9466 -106.117
NM30@BatViewRd 35.9052 -106.131
NM30/NM502 35.8852 -106.154
NM502@+X870174 35.8703 -106.188
NM4/NM502 35.8694 -106.214
NM501/NM502 35.883 -106.319
Total Distance (Miles): 148.612
